id,web_name,pos,team,gw,now_cost,xmins,xpts,horizon_xpts
101,Raya,GKP,1,1,6.0,90.0,5.1,23.3
101,Raya,GKP,1,2,6.0,90.0,4.8,23.3
102,Palmer,GKP,10,1,4.0,5.0,0.4,2.0
103,Gabriel,DEF,1,1,8.0,88.0,5.6,26.4
104,Mitchell,DEF,7,1,4.5,80.0,3.9,18.2
105,Shaw,DEF,13,1,4.5,60.0,2.8,14.1
106,Diop,DEF,10,1,4.0,45.0,1.9,9.0
107,Van Ewijk,DEF,8,1,4.0,20.0,0.9,4.2
108,B.Fernandes,MID,13,1,12.0,89.0,6.4,31.5
109,Mbeumo,MID,13,1,8.0,85.0,5.7,27.8
110,Szoboszlai,MID,11,1,7.0,82.0,4.6,22.4
111,Yates,MID,15,1,4.5,78.0,3.1,15.0
112,Hughes,MID,7,1,4.5,55.0,2.2,10.8
113,Haaland,FWD,12,1,15.5,90.0,7.9,38.6
114,J.Pedro,FWD,5,1,7.5,80.0,4.9,23.1
115,Calvert-Lewin,FWD,9,1,6.0,72.0,3.8,18.0
